dataset,method,n,psnr_y_mean,psnr_y_std,psnr_rgb_mean,psnr_rgb_std,ssim_rgb_mean,ssim_rgb_std,l1_rgb_mean,l1_rgb_std,l1_y_mean,l1_y_std
B100,lua2,100,27.37663069719832,3.580852914487717,25.85058204465482,3.4919348221453546,0.7208739405870438,0.12253498436353338,0.03457453699939927,0.0152679236038728,0.02874372593272355,0.013197989634893178
B100,swin2,100,27.06577652655813,3.7948718428310717,25.553832958744348,3.7037546788521585,0.71755903840065,0.1236544370702086,0.03619497485268954,0.016849924034773554,0.030184801667973278,0.014559139784115303
Manga109,lua2,109,30.18320910629577,3.311796958667281,27.467971130007392,3.0041140179076633,0.8659495837097868,0.0702329929707263,0.025225618279108943,0.011603473583682787,0.017692511214951915,0.00874612334904012
Manga109,swin2,109,30.531938527977857,3.406624641553579,27.58618933997621,3.1140790168073673,0.858302592137538,0.0727410750561529,0.024776656890177773,0.012290958036391388,0.017152188157769102,0.008919168337135465
Set14,lua2,14,28.25532171287922,3.320213972177771,26.09597493644691,2.9899509929930432,0.7461909055709839,0.11712320947529141,0.03359059226234045,0.014578563227744307,0.02584742785201257,0.01187269302736291
Set14,swin2,14,28.34485630382984,3.5484440114414175,26.151064878440724,3.20347896098858,0.7459183122430529,0.1170609147565658,0.03391568841960284,0.01557795699779147,0.026161410594568724,0.012663928400547225
Set5,lua2,5,30.620096915849377,2.6844660341299305,27.99840448767003,2.347839430522165,0.8317171573638916,0.05951559979990106,0.025952397907106267,0.006695526712570333,0.018763309735746574,0.005508567825916199
Set5,swin2,5,31.07276251723963,2.348154722238265,28.492698766589562,1.8876145656937178,0.8377273201942443,0.06444838278284462,0.024343749888798377,0.0051295337692732704,0.01774825565313082,0.004395983791230646
Urban100,lua2,100,26.775942622262573,3.9537908850634915,24.988249290055776,3.747735765886527,0.7881517398357392,0.09994998580279645,0.03669213995513374,0.015332055204348107,0.029628643144313554,0.013072723481726575
Urban100,swin2,100,26.914430910573103,4.154833453733831,25.064512847254736,3.914797716535112,0.7931376779079438,0.09894075892860345,0.0366983773191144,0.01608898652998283,0.029484436287422304,0.013581311943948762
OVERALL_WEIGHTED,lua2,328,28.213116198450866,3.888672765075612,26.168377006678273,3.5401045388018453,0.7923668632056655,0.11567101716889634,0.03193990966184291,0.014895714646210674,0.025065247465671885,0.01289486694304692
OVERALL_MACRO,lua2,5,28.64224021089705,1.5179619452757835,26.480236377766982,1.100054658196517,0.790576665413489,0.05330677757941636,0.031207057080617735,0.0047009860300192075,0.024135123575949633,0.0049942686518160105
OVERALL_WEIGHTED,swin2,328,28.28717635397112,4.1175149930677355,26.15032811215986,3.715695196521994,0.790415082762881,0.11542780738458723,0.03227600367539086,0.016026549346360816,0.02527900405892075,0.01378445641653486
OVERALL_MACRO,swin2,5,28.785952957235715,1.7282437072597043,26.56965975820112,1.2809375005670727,0.7905289881766858,0.053183597431480496,0.031185889474076585,0.005492238109802984,0.024146218472172847,0.0056368864458752254
