step,dataset,sample_id,mode,height,width,psnr_vs_vae,ssim_vs_vae,psnr_vs_raw,ssim_vs_raw,rgb_l1_vs_vae,hf_error_vs_vae,lf_drift_vs_base,lpips_vs_vae,feature_l1_base,feature_l1_1step,feature_l1_4step,gate_mean
6063,Set5,baby,feature_bicubic,496,496,28.15931014692362,0.7562289237976074,27.896145051839653,0.7468897700309753,0.05084237828850746,0.03311106935143471,0.015942567959427834,0.07313880324363708,4.249189376831055,3.149158239364624,3.1687498092651367,0.9983693957328796
6063,Set5,baby,rf_1step,496,496,31.341880284580775,0.850182831287384,30.828739311984044,0.8380663990974426,0.03568583354353905,0.021922767162322998,0.0112400958314538,0.04404380917549133,4.249189376831055,3.149158239364624,3.1687498092651367,0.9983693957328796
6063,Set5,baby,rf_4step,496,496,31.18180712534052,0.8504094481468201,30.708216450561036,0.8388504385948181,0.036404192447662354,0.022000471130013466,0.012296772561967373,0.04028737172484398,4.249189376831055,3.149158239364624,3.1687498092651367,0.9983693957328796
6063,Set5,bird,feature_bicubic,288,288,25.366680980505794,0.731497585773468,25.230210365214475,0.7226582169532776,0.0687861517071724,0.03556069731712341,0.02400371804833412,0.15805324912071228,4.8240580558776855,3.317211151123047,3.307687997817993,0.9980142712593079
6063,Set5,bird,rf_1step,288,288,28.367917763874043,0.8418605327606201,28.10942699268393,0.8293290734291077,0.05091289430856705,0.01882166974246502,0.022615404799580574,0.0651179850101471,4.8240580558776855,3.317211151123047,3.307687997817993,0.9980142712593079
6063,Set5,bird,rf_4step,288,288,28.27145561047245,0.8390674591064453,28.01671080447249,0.8270642757415771,0.05192653834819794,0.018783144652843475,0.024513255804777145,0.0635739341378212,4.8240580558776855,3.317211151123047,3.307687997817993,0.9980142712593079
6063,Set5,butterfly,feature_bicubic,240,240,19.191648643383306,0.6372434496879578,19.164515263985344,0.6339607834815979,0.1353418231010437,0.09200037270784378,0.04066557064652443,0.2013101875782013,4.656733989715576,3.1803998947143555,3.185551643371582,0.9988707304000854
6063,Set5,butterfly,rf_1step,240,240,24.60642233789146,0.8489183783531189,24.49809728468952,0.8431554436683655,0.07234232872724533,0.04496683180332184,0.02327585779130459,0.09033185243606567,4.656733989715576,3.1803998947143555,3.185551643371582,0.9988707304000854
6063,Set5,butterfly,rf_4step,240,240,24.55700792387471,0.8470326662063599,24.44293326203256,0.8410242199897766,0.07200231403112411,0.045358944684267044,0.02381257526576519,0.09152454137802124,4.656733989715576,3.1803998947143555,3.185551643371582,0.9988707304000854
6063,Set5,head,feature_bicubic,272,272,27.605799989801753,0.6162161231040955,26.82603478617564,0.5732167959213257,0.058573391288518906,0.04367545619606972,0.015316403470933437,0.20191800594329834,4.075997829437256,3.225695848464966,3.2356786727905273,0.9982287287712097
6063,Set5,head,rf_1step,272,272,30.24107186727366,0.7276102900505066,28.966896016218307,0.6777544617652893,0.04415284842252731,0.03280144929885864,0.010543454438447952,0.1366225928068161,4.075997829437256,3.225695848464966,3.2356786727905273,0.9982287287712097
6063,Set5,head,rf_4step,272,272,30.16705042876498,0.7255958914756775,28.918780231009535,0.6765223741531372,0.044557832181453705,0.03310330957174301,0.010598043911159039,0.12864552438259125,4.075997829437256,3.225695848464966,3.2356786727905273,0.9982287287712097
6063,Set5,woman,feature_bicubic,336,224,22.70447039721615,0.7458443641662598,22.673447515105426,0.74531489610672,0.08137716352939606,0.0523340217769146,0.025247547775506973,0.1461918205022812,5.09968900680542,4.05433464050293,4.080765247344971,0.9982584118843079
6063,Set5,woman,rf_1step,336,224,27.831133657999203,0.8821419477462769,27.726482426117535,0.8806611895561218,0.04609251022338867,0.02835947647690773,0.016867706552147865,0.06217508763074875,5.09968900680542,4.05433464050293,4.080765247344971,0.9982584118843079
6063,Set5,woman,rf_4step,336,224,27.851833351315427,0.8834502696990967,27.756284203942784,0.8821114301681519,0.046395301818847656,0.028304820880293846,0.01841043122112751,0.06088123843073845,5.09968900680542,4.05433464050293,4.080765247344971,0.9982584118843079
